local_time,utc_time,endpoint,priority,purpose
2026-09-20T13:45:00-05:00,2026-09-20T18:45:00+00:00,games,STANDARD,Track game state and clock for injury context
2026-09-20T14:00:00-05:00,2026-09-20T19:00:00+00:00,injuries,STANDARD,"Detect additions, status changes, and removals"
2026-09-20T14:00:00-05:00,2026-09-20T19:00:00+00:00,games,STANDARD,Track game state and clock for injury context
2026-09-20T14:15:00-05:00,2026-09-20T19:15:00+00:00,injuries,STANDARD,"Detect additions, status changes, and removals"
2026-09-20T14:15:00-05:00,2026-09-20T19:15:00+00:00,games,STANDARD,Track game state and clock for injury context
2026-09-20T14:30:00-05:00,2026-09-20T19:30:00+00:00,injuries,STANDARD,"Detect additions, status changes, and removals"
2026-09-20T14:30:00-05:00,2026-09-20T19:30:00+00:00,games,STANDARD,Track game state and clock for injury context
2026-09-20T14:45:00-05:00,2026-09-20T19:45:00+00:00,injuries,STANDARD,"Detect additions, status changes, and removals"
2026-09-20T14:45:00-05:00,2026-09-20T19:45:00+00:00,games,STANDARD,Track game state and clock for injury context
2026-09-20T14:55:00-05:00,2026-09-20T19:55:00+00:00,injuries,LATE_PREKICK,"Detect additions, status changes, and removals"
2026-09-20T14:55:00-05:00,2026-09-20T19:55:00+00:00,games,LATE_PREKICK,Track game state and clock for injury context
2026-09-20T15:00:00-05:00,2026-09-20T20:00:00+00:00,injuries,STANDARD,"Detect additions, status changes, and removals"
2026-09-20T15:00:00-05:00,2026-09-20T20:00:00+00:00,games,STANDARD,Track game state and clock for injury context
2026-09-20T15:15:00-05:00,2026-09-20T20:15:00+00:00,injuries,STANDARD,"Detect additions, status changes, and removals"
2026-09-20T15:15:00-05:00,2026-09-20T20:15:00+00:00,games,STANDARD,Track game state and clock for injury context
2026-09-20T15:30:00-05:00,2026-09-20T20:30:00+00:00,injuries,STANDARD,"Detect additions, status changes, and removals"
2026-09-20T15:30:00-05:00,2026-09-20T20:30:00+00:00,games,STANDARD,Track game state and clock for injury context
2026-09-20T15:45:00-05:00,2026-09-20T20:45:00+00:00,injuries,STANDARD,"Detect additions, status changes, and removals"
2026-09-20T15:45:00-05:00,2026-09-20T20:45:00+00:00,games,STANDARD,Track game state and clock for injury context
2026-09-20T16:00:00-05:00,2026-09-20T21:00:00+00:00,injuries,STANDARD,"Detect additions, status changes, and removals"
2026-09-20T16:00:00-05:00,2026-09-20T21:00:00+00:00,games,STANDARD,Track game state and clock for injury context
2026-09-20T16:15:00-05:00,2026-09-20T21:15:00+00:00,injuries,STANDARD,"Detect additions, status changes, and removals"
2026-09-20T16:15:00-05:00,2026-09-20T21:15:00+00:00,games,STANDARD,Track game state and clock for injury context
2026-09-20T16:30:00-05:00,2026-09-20T21:30:00+00:00,injuries,STANDARD,"Detect additions, status changes, and removals"
2026-09-20T16:30:00-05:00,2026-09-20T21:30:00+00:00,games,STANDARD,Track game state and clock for injury context
2026-09-20T16:45:00-05:00,2026-09-20T21:45:00+00:00,injuries,STANDARD,"Detect additions, status changes, and removals"
2026-09-20T16:45:00-05:00,2026-09-20T21:45:00+00:00,games,STANDARD,Track game state and clock for injury context
2026-09-20T17:00:00-05:00,2026-09-20T22:00:00+00:00,injuries,STANDARD,"Detect additions, status changes, and removals"
2026-09-20T17:00:00-05:00,2026-09-20T22:00:00+00:00,games,STANDARD,Track game state and clock for injury context
2026-09-20T17:15:00-05:00,2026-09-20T22:15:00+00:00,injuries,STANDARD,"Detect additions, status changes, and removals"
2026-09-20T17:15:00-05:00,2026-09-20T22:15:00+00:00,games,STANDARD,Track game state and clock for injury context
2026-09-20T17:30:00-05:00,2026-09-20T22:30:00+00:00,injuries,STANDARD,"Detect additions, status changes, and removals"
2026-09-20T17:30:00-05:00,2026-09-20T22:30:00+00:00,games,STANDARD,Track game state and clock for injury context
2026-09-20T17:45:00-05:00,2026-09-20T22:45:00+00:00,injuries,STANDARD,"Detect additions, status changes, and removals"
2026-09-20T17:45:00-05:00,2026-09-20T22:45:00+00:00,games,STANDARD,Track game state and clock for injury context
2026-09-20T18:00:00-05:00,2026-09-20T23:00:00+00:00,injuries,STANDARD,"Detect additions, status changes, and removals"
2026-09-20T18:00:00-05:00,2026-09-20T23:00:00+00:00,games,STANDARD,Track game state and clock for injury context
2026-09-20T18:15:00-05:00,2026-09-20T23:15:00+00:00,injuries,STANDARD,"Detect additions, status changes, and removals"
2026-09-20T18:15:00-05:00,2026-09-20T23:15:00+00:00,games,STANDARD,Track game state and clock for injury context
2026-09-20T18:30:00-05:00,2026-09-20T23:30:00+00:00,injuries,STANDARD,"Detect additions, status changes, and removals"
2026-09-20T18:30:00-05:00,2026-09-20T23:30:00+00:00,games,STANDARD,Track game state and clock for injury context
2026-09-20T18:45:00-05:00,2026-09-20T23:45:00+00:00,injuries,STANDARD,"Detect additions, status changes, and removals"
2026-09-20T18:45:00-05:00,2026-09-20T23:45:00+00:00,games,STANDARD,Track game state and clock for injury context
2026-09-20T19:00:00-05:00,2026-09-21T00:00:00+00:00,injuries,STANDARD,"Detect additions, status changes, and removals"
2026-09-20T19:00:00-05:00,2026-09-21T00:00:00+00:00,games,STANDARD,Track game state and clock for injury context
2026-09-20T19:15:00-05:00,2026-09-21T00:15:00+00:00,injuries,STANDARD,"Detect additions, status changes, and removals"
2026-09-20T19:15:00-05:00,2026-09-21T00:15:00+00:00,games,STANDARD,Track game state and clock for injury context
2026-09-20T19:30:00-05:00,2026-09-21T00:30:00+00:00,injuries,STANDARD,"Detect additions, status changes, and removals"
2026-09-20T19:30:00-05:00,2026-09-21T00:30:00+00:00,games,STANDARD,Track game state and clock for injury context
2026-09-20T19:45:00-05:00,2026-09-21T00:45:00+00:00,injuries,STANDARD,"Detect additions, status changes, and removals"
2026-09-20T19:45:00-05:00,2026-09-21T00:45:00+00:00,games,STANDARD,Track game state and clock for injury context
2026-09-20T20:00:00-05:00,2026-09-21T01:00:00+00:00,injuries,STANDARD,"Detect additions, status changes, and removals"
2026-09-20T20:00:00-05:00,2026-09-21T01:00:00+00:00,games,STANDARD,Track game state and clock for injury context
2026-09-20T20:15:00-05:00,2026-09-21T01:15:00+00:00,injuries,STANDARD,"Detect additions, status changes, and removals"
2026-09-20T20:15:00-05:00,2026-09-21T01:15:00+00:00,games,STANDARD,Track game state and clock for injury context
2026-09-20T20:30:00-05:00,2026-09-21T01:30:00+00:00,injuries,STANDARD,"Detect additions, status changes, and removals"
2026-09-20T20:30:00-05:00,2026-09-21T01:30:00+00:00,games,STANDARD,Track game state and clock for injury context
2026-09-20T20:45:00-05:00,2026-09-21T01:45:00+00:00,injuries,STANDARD,"Detect additions, status changes, and removals"
2026-09-20T20:45:00-05:00,2026-09-21T01:45:00+00:00,games,STANDARD,Track game state and clock for injury context
2026-09-20T21:00:00-05:00,2026-09-21T02:00:00+00:00,injuries,STANDARD,"Detect additions, status changes, and removals"
2026-09-20T21:00:00-05:00,2026-09-21T02:00:00+00:00,games,STANDARD,Track game state and clock for injury context
2026-09-20T21:15:00-05:00,2026-09-21T02:15:00+00:00,injuries,STANDARD,"Detect additions, status changes, and removals"
2026-09-20T21:15:00-05:00,2026-09-21T02:15:00+00:00,games,STANDARD,Track game state and clock for injury context
2026-09-20T21:30:00-05:00,2026-09-21T02:30:00+00:00,injuries,STANDARD,"Detect additions, status changes, and removals"
2026-09-20T21:30:00-05:00,2026-09-21T02:30:00+00:00,games,STANDARD,Track game state and clock for injury context
2026-09-20T21:45:00-05:00,2026-09-21T02:45:00+00:00,injuries,STANDARD,"Detect additions, status changes, and removals"
2026-09-20T21:45:00-05:00,2026-09-21T02:45:00+00:00,games,STANDARD,Track game state and clock for injury context
2026-09-20T22:00:00-05:00,2026-09-21T03:00:00+00:00,injuries,STANDARD,"Detect additions, status changes, and removals"
2026-09-20T22:00:00-05:00,2026-09-21T03:00:00+00:00,games,STANDARD,Track game state and clock for injury context
2026-09-20T22:15:00-05:00,2026-09-21T03:15:00+00:00,injuries,STANDARD,"Detect additions, status changes, and removals"
2026-09-20T22:15:00-05:00,2026-09-21T03:15:00+00:00,games,STANDARD,Track game state and clock for injury context
2026-09-20T22:30:00-05:00,2026-09-21T03:30:00+00:00,injuries,STANDARD,"Detect additions, status changes, and removals"
2026-09-20T22:30:00-05:00,2026-09-21T03:30:00+00:00,games,STANDARD,Track game state and clock for injury context
2026-09-20T22:45:00-05:00,2026-09-21T03:45:00+00:00,injuries,STANDARD,"Detect additions, status changes, and removals"
2026-09-20T22:45:00-05:00,2026-09-21T03:45:00+00:00,games,STANDARD,Track game state and clock for injury context
